FECHA,Tipo de Cambio,Superior,Regular,Diesel,Bunker,GLP CILINDRO,GLP LIBRAS
14-dic-21,7.72471,28.78,28.06,24.28,16.95,122.0,4.88
15-dic-21,7.72525,28.78,28.06,24.28,16.95,122.0,4.88
16-dic-21,7.72374,28.78,28.06,24.28,16.95,122.0,4.88
17-dic-21,7.72464,28.78,28.06,24.28,16.95,122.0,4.88
18-dic-21,7.72464,28.78,28.06,24.28,16.95,122.0,4.88
19-dic-21,7.72464,28.78,28.06,24.28,16.95,122.0,4.88
20-dic-21,7.7221,28.78,28.06,24.28,17.1,122.0,4.88
21-dic-21,7.71769,28.78,28.06,24.28,17.1,122.0,4.88
22-dic-21,7.72082,28.78,28.06,24.28,17.1,122.0,4.88
23-dic-21,7.71827,28.78,28.06,24.28,17.1,122.0,4.88
24-dic-21,7.71628,28.78,28.06,24.28,17.1,122.0,4.88
25-dic-21,7.71628,28.78,28.06,24.28,17.1,122.0,4.88
26-dic-21,7.71628,28.78,28.06,24.28,17.1,122.0,4.88
27-dic-21,7.71628,28.69,27.91,24.51,17.28,122.0,4.88
28-dic-21,7.72447,28.69,27.91,24.51,17.28,122.0,4.88
29-dic-21,7.71924,28.69,27.91,24.51,17.28,122.0,4.88
30-dic-21,7.71912,28.69,27.91,24.51,17.28,122.0,4.88
31-dic-21,7.71912,28.69,27.91,24.51,17.28,122.0,4.88
1-ene-22,7.71912,28.69,27.91,24.51,17.28,122.0,4.88
